r	z	br	bz
0.0000	295.0000	-0.0000	-0.3333
0.0000	300.0000	0.0000	-0.3214
0.0000	305.0000	-0.0000	-0.3114
0.0000	310.0000	0.0000	-0.3015
0.0000	315.0000	-0.0000	-0.2927
0.0000	320.0000	0.0000	-0.2839
0.0000	325.0000	0.0000	-0.2735
0.0000	330.0000	0.0000	-0.2632
0.0000	335.0000	0.0000	-0.2448
0.0000	340.0000	0.0000	-0.2264
5.0000	-345.0000	0.0168	-0.2015
5.0000	-340.0000	0.0117	-0.2285
5.0000	-335.0000	0.0083	-0.2464
5.0000	-330.0000	0.0049	-0.2642
5.0000	-325.0000	0.0044	-0.2741
5.0000	-320.0000	0.0039	-0.2839
5.0000	-315.0000	0.0042	-0.2926
5.0000	-310.0000	0.0045	-0.3013
5.0000	-305.0000	0.0049	-0.3112
5.0000	-300.0000	0.0054	-0.3211
5.0000	-295.0000	0.0059	-0.3330
5.0000	-290.0000	0.0065	-0.3449
5.0000	-285.0000	0.0071	-0.3592
5.0000	-280.0000	0.0078	-0.3734
5.0000	-275.0000	0.0085	-0.3904
5.0000	-270.0000	0.0092	-0.4073
5.0000	-265.0000	0.0100	-0.4272
5.0000	-260.0000	0.0107	-0.4471
5.0000	-255.0000	0.0116	-0.4687
5.0000	-250.0000	0.0125	-0.4902
5.0000	-245.0000	0.0134	-0.5185
5.0000	-240.0000	0.0144	-0.5473
5.0000	-235.0000	0.0154	-0.5766
5.0000	-230.0000	0.0165	-0.6091
5.0000	-225.0000	0.0177	-0.6433
5.0000	-220.0000	0.0188	-0.6792
5.0000	-215.0000	0.0201	-0.7187
5.0000	-210.0000	0.0213	-0.7601
5.0000	-205.0000	0.0226	-0.8034
5.0000	-200.0000	0.0240	-0.8506
5.0000	-195.0000	0.0253	-0.8999
5.0000	-190.0000	0.0267	-0.9511
5.0000	-185.0000	0.0280	-1.0064
5.0000	-180.0000	0.0294	-1.0585
5.0000	-175.0000	0.0307	-1.1073
5.0000	-170.0000	0.0320	-1.1848
5.0000	-165.0000	0.0332	-1.2499
5.0000	-160.0000	0.0344	-1.3174
5.0000	-155.0000	0.0354	-1.3871
5.0000	-150.0000	0.0363	-1.4588
5.0000	-145.0000	0.0371	-1.5322
5.0000	-140.0000	0.0378	-1.6070
5.0000	-135.0000	0.0383	-1.6830
5.0000	-130.0000	0.0386	-1.7597
5.0000	-125.0000	0.0387	-1.8369
5.0000	-120.0000	0.0386	-1.9141
5.0000	-115.0000	0.0383	-1.9909
5.0000	-110.0000	0.0379	-2.0670
5.0000	-105.0000	0.0372	-2.1419
5.0000	-100.0000	0.0363	-2.2419
5.0000	-95.0000	0.0352	-2.2982
5.0000	-90.0000	0.0341	-2.3545
5.0000	-85.0000	0.0327	-2.4197
5.0000	-80.0000	0.0313	-2.4848
5.0000	-75.0000	0.0297	-2.5439
5.0000	-70.0000	0.0280	-2.6031
5.0000	-65.0000	0.0262	-2.6553
5.0000	-60.0000	0.0244	-2.7075
5.0000	-55.0000	0.0225	-2.7523
5.0000	-50.0000	0.0205	-2.7971
5.0000	-45.0000	0.0185	-2.8340
5.0000	-40.0000	0.0165	-2.8709
5.0000	-35.0000	0.0145	-2.8998
5.0000	-30.0000	0.0124	-2.9286
5.0000	-25.0000	0.0103	-2.9493
5.0000	-20.0000	0.0083	-2.9699
5.0000	-15.0000	0.0062	-2.9823
5.0000	-10.0000	0.0041	-2.9947
5.0000	-5.0000	0.0021	-2.9989
5.0000	0.0000	0.0000	-3.0030
5.0000	5.0000	-0.0021	-2.9989
5.0000	10.0000	-0.0041	-2.9947
5.0000	15.0000	-0.0062	-2.9823
5.0000	20.0000	-0.0083	-2.9699
5.0000	25.0000	-0.0103	-2.9493
5.0000	30.0000	-0.0124	-2.9286
5.0000	35.0000	-0.0145	-2.8998
5.0000	40.0000	-0.0165	-2.8709
5.0000	45.0000	-0.0185	-2.8340
5.0000	50.0000	-0.0205	-2.7971
5.0000	55.0000	-0.0225	-2.7523
5.0000	60.0000	-0.0244	-2.7075
5.0000	65.0000	-0.0262	-2.6553
5.0000	70.0000	-0.0280	-2.6031
5.0000	75.0000	-0.0297	-2.5439
5.0000	80.0000	-0.0313	-2.4848
5.0000	85.0000	-0.0327	-2.4197
5.0000	90.0000	-0.0341	-2.3545
5.0000	95.0000	-0.0352	-2.2982
5.0000	100.0000	-0.0363	-2.2419
5.0000	105.0000	-0.0372	-2.1419
5.0000	110.0000	-0.0379	-2.0670
5.0000	115.0000	-0.0383	-1.9909
5.0000	120.0000	-0.0386	-1.9141
5.0000	125.0000	-0.0387	-1.8369
5.0000	130.0000	-0.0386	-1.7597
5.0000	135.0000	-0.0383	-1.6830
5.0000	140.0000	-0.0378	-1.6070
5.0000	145.0000	-0.0371	-1.5322
5.0000	150.0000	-0.0363	-1.4588
5.0000	155.0000	-0.0354	-1.3871
5.0000	160.0000	-0.0344	-1.3174
5.0000	165.0000	-0.0332	-1.2499
5.0000	170.0000	-0.0320	-1.1848
5.0000	175.0000	-0.0307	-1.1073
5.0000	180.0000	-0.0294	-1.0585
5.0000	185.0000	-0.0280	-1.0064
5.0000	190.0000	-0.0267	-0.9511
5.0000	195.0000	-0.0253	-0.8999
5.0000	200.0000	-0.0240	-0.8506
5.0000	205.0000	-0.0226	-0.8034
5.0000	210.0000	-0.0213	-0.7601
5.0000	215.0000	-0.0201	-0.7187
5.0000	220.0000	-0.0188	-0.6792
5.0000	225.0000	-0.0177	-0.6433
5.0000	230.0000	-0.0165	-0.6091
5.0000	235.0000	-0.0154	-0.5766
5.0000	240.0000	-0.0144	-0.5473
5.0000	245.0000	-0.0134	-0.5185
5.0000	250.0000	-0.0125	-0.4902
5.0000	255.0000	-0.0116	-0.4687
5.0000	260.0000	-0.0107	-0.4471
5.0000	265.0000	-0.0100	-0.4272
5.0000	270.0000	-0.0092	-0.4073
5.0000	275.0000	-0.0085	-0.3904
5.0000	280.0000	-0.0078	-0.3734
5.0000	285.0000	-0.0071	-0.3592
5.0000	290.0000	-0.0065	-0.3449
5.0000	295.0000	-0.0059	-0.3330
5.0000	300.0000	-0.0054	-0.3211
5.0000	305.0000	-0.0049	-0.3112
5.0000	310.0000	-0.0045	-0.3013
5.0000	315.0000	-0.0042	-0.2926
5.0000	320.0000	-0.0039	-0.2839
5.0000	325.0000	-0.0044	-0.2741
5.0000	330.0000	-0.0049	-0.2642
5.0000	335.0000	-0.0083	-0.2464
5.0000	340.0000	-0.0117	-0.2285
10.0000	-345.0000	0.0347	-0.2068
10.0000	-340.0000	0.0215	-0.2352
10.0000	-335.0000	0.0151	-0.2511
10.0000	-330.0000	0.0086	-0.2670
10.0000	-325.0000	0.0082	-0.2755
10.0000	-320.0000	0.0078	-0.2840
10.0000	-315.0000	0.0083	-0.2924
10.0000	-310.0000	0.0089	-0.3007
10.0000	-305.0000	0.0098	-0.3106
10.0000	-300.0000	0.0107	-0.3204
10.0000	-295.0000	0.0118	-0.3322
10.0000	-290.0000	0.0129	-0.3440
10.0000	-285.0000	0.0142	-0.3583
10.0000	-280.0000	0.0155	-0.3725
10.0000	-275.0000	0.0169	-0.3893
10.0000	-270.0000	0.0183	-0.4062
10.0000	-265.0000	0.0199	-0.4261
10.0000	-260.0000	0.0214	-0.4459
10.0000	-255.0000	0.0232	-0.4674
10.0000	-250.0000	0.0249	-0.4888
10.0000	-245.0000	0.0268	-0.5171
10.0000	-240.0000	0.0288	-0.5458
10.0000	-235.0000	0.0308	-0.5750
10.0000	-230.0000	0.0330	-0.6075
10.0000	-225.0000	0.0353	-0.6416
10.0000	-220.0000	0.0376	-0.6775
10.0000	-215.0000	0.0401	-0.7169
10.0000	-210.0000	0.0426	-0.7582
10.0000	-205.0000	0.0452	-0.8015
10.0000	-200.0000	0.0479	-0.8487
10.0000	-195.0000	0.0506	-0.8979
10.0000	-190.0000	0.0533	-0.9491
10.0000	-185.0000	0.0560	-1.0044
10.0000	-180.0000	0.0587	-1.0565
10.0000	-175.0000	0.0614	-1.1053
10.0000	-170.0000	0.0640	-1.1830
10.0000	-165.0000	0.0664	-1.2482
10.0000	-160.0000	0.0687	-1.3158
10.0000	-155.0000	0.0708	-1.3856
10.0000	-150.0000	0.0727	-1.4575
10.0000	-145.0000	0.0743	-1.5311
10.0000	-140.0000	0.0756	-1.6062
10.0000	-135.0000	0.0766	-1.6824
10.0000	-130.0000	0.0772	-1.7594
10.0000	-125.0000	0.0774	-1.8368
10.0000	-120.0000	0.0773	-1.9143
10.0000	-115.0000	0.0767	-1.9914
10.0000	-110.0000	0.0758	-2.0678
